Date,Corn_open,Corn_close,Corn_volume,Tmin,Tmax,Awnd,Prcp,Tmin_avg,Tmax_avg,Awnd_avg,Prcp_avg,Tmin_dev,Tmax_dev,Awnd_dev,Prcp_dev,Combined_dev
2000-07-17,182.25,179.25,19385,6.65,12.2,1.75,0.0,8.792857142857143,15.221428571428572,2.0185714285714287,1.6914285714285715,-2.1428571428571423,-3.021428571428572,-0.2685714285714287,-1.6914285714285715,0.647852422564216
2000-07-18,179.0,180.75,25205,5.55,8.9,2.85,4.7,8.96,15.10142857142857,2.142857142857143,1.4942857142857142,-3.410000000000001,-6.20142857142857,0.7071428571428573,3.205714285714286,1.2593736815960777
2000-07-19,180.0,182.0,17126,5.3,8.9,0.9,0.0,8.974285714285715,14.64,2.0028571428571427,1.6085714285714283,-3.6742857142857153,-5.74,-1.1028571428571428,-1.6085714285714283,1.2280415490193282
2000-07-20,181.5,186.0,18742,5.3,10.85,1.35,0.0,8.87,14.605714285714283,1.9014285714285712,1.2585714285714285,-3.5699999999999994,-3.755714285714283,-0.5514285714285712,-1.2585714285714285,0.8817995010587121
2000-07-21,185.5,187.75,16814,3.9,11.4,0.9,0.0,8.772857142857143,14.347142857142856,1.8457142857142856,1.3471428571428572,-4.872857142857143,-2.9471428571428557,-0.9457142857142856,-1.3471428571428572,1.049335776388225
2000-07-24,187.75,184.5,14615,8.9,13.05,2.7,0.65,8.745714285714286,14.498571428571427,2.0700000000000003,2.315714285714286,0.1542857142857148,-1.4485714285714266,0.6299999999999999,-1.665714285714286,0.4309288401907625
2000-07-25,183.75,182.75,13883,8.6,14.7,1.85,0.0,8.641428571428571,14.561428571428571,1.9357142857142855,1.37,-0.0414285714285718,0.1385714285714279,-0.0857142857142854,-1.37,0.1448653949901729
2000-07-26,182.5,180.5,14762,7.8,13.9,1.35,0.0,8.407142857142857,14.551428571428572,1.937142857142857,0.1414285714285714,-0.6071428571428568,-0.6514285714285712,-0.587142857142857,-0.1414285714285714,0.2777361544708686
2000-07-27,180.5,181.0,12353,6.95,14.45,1.15,0.0,8.682857142857141,14.5,1.88,1.627142857142857,-1.732857142857141,-0.0500000000000007,-0.73,-1.627142857142857,0.4871275173017884
2000-07-28,181.0,180.25,12850,7.5,14.45,1.45,0.0,8.207142857142857,14.45285714285714,1.7242857142857144,0.5085714285714286,-0.7071428571428573,-0.00285714285714,-0.2742857142857144,-0.5085714285714286,0.1789108413064667
2000-07-31,178.25,180.25,19481,6.95,15.55,0.95,0.0,8.325714285714286,15.005714285714287,1.9028571428571428,0.2614285714285714,-1.3757142857142854,0.5442857142857136,-0.9528571428571428,-0.2614285714285714,0.4476421734451778
2000-08-01,180.25,179.75,16626,7.8,15.55,1.85,0.0,8.368571428571428,14.61,1.9028571428571428,0.7114285714285714,-0.5685714285714285,0.9400000000000012,-0.0528571428571427,-0.7114285714285714,0.1986710761824652
