Date,"LT COMPOSITE (>10 Yrs)","TREASURY 20-Yr CMT"
12/31/2024,4.85,4.86
12/30/2024,4.84,4.84
12/27/2024,4.89,4.89
12/26/2024,4.84,4.83
12/24/2024,4.85,4.84
12/23/2024,4.86,4.85
12/20/2024,4.79,4.79
12/19/2024,4.83,4.82
12/18/2024,4.74,4.74
12/17/2024,4.67,4.68
12/16/2024,4.67,4.68
12/13/2024,4.69,4.69
12/12/2024,4.62,4.62
12/11/2024,4.55,4.55
12/10/2024,4.48,4.49
12/09/2024,4.46,4.47
12/06/2024,4.41,4.42
12/05/2024,4.41,4.43
12/04/2024,4.43,4.45
12/03/2024,4.48,4.50
12/02/2024,4.44,4.46
11/29/2024,4.45,4.45
11/27/2024,4.52,4.52
11/26/2024,4.56,4.56
11/25/2024,4.53,4.53
11/22/2024,4.68,4.67
11/21/2024,4.69,4.68
11/20/2024,4.67,4.66
11/19/2024,4.65,4.66
11/18/2024,4.69,4.70
11/15/2024,4.68,4.70
11/14/2024,4.67,4.69
11/13/2024,4.71,4.73
11/12/2024,4.68,4.70
11/08/2024,4.56,4.58
11/07/2024,4.60,4.62
11/06/2024,4.68,4.71
11/05/2024,4.52,4.55
11/04/2024,4.57,4.60
11/01/2024,4.64,4.68
10/31/2024,4.54,4.58
10/30/2024,4.56,4.60
10/29/2024,4.58,4.61
10/28/2024,4.58,4.61
10/25/2024,4.56,4.58
10/24/2024,4.52,4.54
10/23/2024,4.56,4.58
10/22/2024,4.53,4.55
10/21/2024,4.52,4.54
10/18/2024,4.42,4.44
10/17/2024,4.42,4.44
10/16/2024,4.34,4.36
10/15/2024,4.35,4.37
10/11/2024,4.42,4.44
10/10/2024,4.42,4.44
10/09/2024,4.38,4.41
10/08/2024,4.36,4.38
10/07/2024,4.35,4.37
10/04/2024,4.30,4.33
10/03/2024,4.21,4.24
10/02/2024,4.16,4.19
10/01/2024,4.10,4.14
09/30/2024,4.16,4.19
09/27/2024,4.12,4.15
09/26/2024,4.15,4.17
09/25/2024,4.16,4.18
09/24/2024,4.11,4.13
09/23/2024,4.11,4.12
09/20/2024,4.09,4.10
09/19/2024,4.09,4.11
09/18/2024,4.06,4.08
09/17/2024,3.99,4.02
09/16/2024,3.97,4.01
09/13/2024,4.01,4.05
09/12/2024,4.03,4.07
09/11/2024,4.00,4.03
09/10/2024,4.00,4.04
09/09/2024,4.04,4.08
09/06/2024,4.07,4.10
09/05/2024,4.07,4.11
09/04/2024,4.10,4.14
09/03/2024,4.18,4.21
08/30/2024,4.25,4.28
08/29/2024,4.21,4.24
08/28/2024,4.19,4.22
08/27/2024,4.18,4.21
08/26/2024,4.16,4.19
08/23/2024,4.15,4.18
08/22/2024,4.19,4.21
08/21/2024,4.12,4.15
08/20/2024,4.14,4.19
08/19/2024,4.18,4.23
08/16/2024,4.22,4.26
08/15/2024,4.24,4.28
08/14/2024,4.17,4.22
08/13/2024,4.21,4.25
08/12/2024,4.25,4.30
08/09/2024,4.28,4.33
08/08/2024,4.34,4.38
08/07/2024,4.30,4.35
08/06/2024,4.23,4.28
08/05/2024,4.11,4.16
08/02/2024,4.13,4.19
08/01/2024,4.30,4.35
07/31/2024,4.39,4.44
07/30/2024,4.45,4.50
07/29/2024,4.47,4.51
07/26/2024,4.50,4.53
07/25/2024,4.56,4.59
07/24/2024,4.59,4.62
07/23/2024,4.53,4.56
07/22/2024,4.54,4.57
07/19/2024,4.52,4.55
07/18/2024,4.48,4.51
07/17/2024,4.43,4.46
07/16/2024,4.44,4.48
07/15/2024,4.52,4.56
07/12/2024,4.46,4.50
07/11/2024,4.47,4.51
07/10/2024,4.54,4.58
07/09/2024,4.56,4.59
07/08/2024,4.53,4.57
07/05/2024,4.54,4.57
07/03/2024,4.60,4.64
07/02/2024,4.68,4.71
07/01/2024,4.72,4.76
06/28/2024,4.58,4.61
06/27/2024,4.50,4.53
06/26/2024,4.52,4.55
06/25/2024,4.43,4.46
06/24/2024,4.45,4.48
06/21/2024,4.46,4.49
06/20/2024,4.46,4.49
06/18/2024,4.43,4.47
06/17/2024,4.48,4.52
06/14/2024,4.42,4.46
06/13/2024,4.46,4.50
