ID,Min,Max
Open,19.813974372468863,66.28202373668078
High,21.665661498365203,66.52259621312483
Low,19.15601435217525,64.97691169725063
Close,19.49439811706543,65.58052825927734
Volume,44000.0,30573900.0
Sentiment,-6.9329101368784904,4.06743662757799
US Federal Funds Rate,0.04,5.33
1 Mo,0.0,6.02
3 Mo,0.0,5.63
6 Mo,0.02,5.61
1 Yr,0.04,5.49
2 Yr,0.09,5.19
3 Yr,0.1,5.03
5 Yr,0.19,4.95
7 Yr,0.36,5.0
10 Yr,0.52,4.98
20 Yr,0.87,5.3
30 Yr,0.99,5.11
Corn_open,302.75,817.5
Corn_close,302.75,818.25
Corn_volume,0.0,484436.0
Tmin,-15.5,13.6
Tmax,-11.05,20.3
Awnd,0.1,6.3
Prcp,0.0,44.45
Tmin_avg,-7.344285714285714,8.974285714285715
Tmax_avg,-2.1728571428571426,15.221428571428572
Awnd_avg,1.5814285714285714,3.1914285714285717
Prcp_avg,0.0357142857142857,4.491428571428571
Tmin_dev,-9.40857142857143,8.62142857142857
Tmax_dev,-9.805714285714286,10.582857142857144
Awnd_dev,-2.17,3.7485714285714287
Prcp_dev,-4.491428571428571,39.95857142857143
Combined_dev,0.0835578027992477,3.456156668273832
